date,district_code,Record_Count
2013-07-05,440306,1
2013-07-11,440306,1
2013-07-14,440306,4
2013-07-18,440306,1
2013-07-19,440306,2
2013-07-23,440306,2
2013-07-26,440303,1
2013-07-27,440306,2
2013-07-28,440306,1
2013-07-30,440303,1
2013-07-31,440306,2
2013-08-01,440306,1
2013-08-02,440306,2
2013-08-05,440306,2
2013-08-07,440306,2
2013-08-08,440306,2
2013-08-08,440307,1
2013-08-11,440306,1
2013-08-13,440306,4
2013-08-14,440306,4
2013-08-15,440311,1
2013-08-16,440306,2
2013-08-18,440306,1
2013-08-19,440306,4
2013-08-20,440306,3
2013-08-21,440306,4
2013-08-22,440306,4
2013-08-23,440306,2
2013-08-23,440310,1
2013-08-24,440306,1
2013-08-25,440306,1
2013-08-26,440306,5
2013-08-27,440305,1
2013-08-27,440306,1
2013-08-28,440306,4
2013-08-29,440306,6
2013-08-30,440306,13
2013-08-31,440306,2
2013-09-01,440306,1
2013-09-02,440303,1
2013-09-02,440304,1
2013-09-02,440306,6
2013-09-02,440310,1
2013-09-02,440882,1
2013-09-03,440303,1
2013-09-03,440305,1
2013-09-03,440306,5
2013-09-03,440307,1
2013-09-03,440311,1
2013-09-04,440303,1
2013-09-04,440305,3
2013-09-04,440306,10
2013-09-04,440307,1
2013-09-05,440305,3
2013-09-05,440306,8
2013-09-05,440307,1
2013-09-06,440305,10
2013-09-06,440306,9
2013-09-06,440307,1
2013-09-07,440305,18
2013-09-07,440306,18
2013-09-07,440307,1
2013-09-08,440305,16
2013-09-08,440306,2
2013-09-08,440307,3
2013-09-09,440305,12
2013-09-09,440306,7
2013-09-09,440307,1
2013-09-10,440303,1
2013-09-10,440306,5
2013-09-10,440307,4
2013-09-11,440304,1
2013-09-11,440305,2
2013-09-11,440306,5
2013-09-12,440303,2
2013-09-12,440306,4
2013-09-13,440303,4
2013-09-13,440305,1
2013-09-13,440306,6
2013-09-13,440307,2
2013-09-14,440303,6
2013-09-14,440306,2
2013-09-14,440307,5
2013-09-15,440303,3
2013-09-15,440306,9
2013-09-15,440307,4
2013-09-16,440303,3
2013-09-17,440303,2
2013-09-17,440306,2
2013-09-18,440306,2
2013-09-19,440306,1
2013-09-20,440306,7
2013-09-21,440306,4
2013-09-22,440306,1
2013-09-23,440303,1
2013-09-23,440306,3
2013-09-24,440306,2
2013-09-25,440306,1
2013-09-26,440306,4
2013-09-27,440306,1
2013-09-28,440303,1
2013-09-28,440306,6
2013-09-29,440303,3
2013-09-29,440306,1
2013-09-30,440305,1
2013-09-30,440306,1
2013-09-30,440307,1
2013-10-01,440306,1
2013-10-01,440309,1
2013-10-02,440306,1
2013-10-04,440306,1
2013-10-06,440306,1
2013-10-07,440305,1
2013-10-07,440306,1
2013-10-08,440305,1
2013-10-10,440305,2
2013-10-10,440306,1
2013-10-11,440306,1
2013-10-13,440306,1
2013-10-14,440307,1
2013-10-15,440306,1
2013-10-15,440307,1
2013-10-16,440303,1
2013-10-17,440305,1
2013-10-17,440311,1
2013-10-19,440305,2
2013-10-19,440306,1
2013-10-20,440304,1
2013-10-20,440305,3
2013-10-21,440306,1
2013-10-23,440306,1
2013-10-26,440303,3
2013-10-26,440307,2
2013-10-27,440303,1
2013-10-29,440305,2
2013-10-29,440306,3
2013-10-30,440305,1
2013-11-01,440307,1
2013-11-02,440303,1
2013-11-02,440307,1
2013-11-05,440306,1
2013-11-05,440307,1
2013-11-06,440305,2
2013-11-06,440307,1
2013-11-07,440311,1
2013-11-08,440303,1
2013-11-08,440311,1
2013-11-12,440307,1
2013-11-14,440306,1
2013-11-15,440306,2
2013-11-16,440306,1
2013-11-18,440306,3
2013-11-20,440306,1
2013-11-21,440311,1
2013-11-22,440303,2
2013-11-23,440305,1
2013-11-23,440307,3
2013-11-24,440303,2
2013-11-24,440304,1
2013-11-24,440305,5
2013-11-25,440305,1
2013-11-25,440307,2
2013-11-25,440311,1
2013-11-27,440305,1
2013-11-27,440307,2
2013-11-28,440309,1
2013-11-29,440307,2
